transcript_id,n,ngram,count_in_transcript,global_count,global_MI,num_speakers,num_distinct_turns,turn_span,entrained_across_turns
BEP Briefing Unframer Mees,4,liberty requires active citizen,2,2,37.679837519951235,1,2,5,True
BEP Briefing Unframer Mees,4,requires active citizen participation,2,2,37.09487501923008,1,2,5,True
BEP Briefing Unframer Mees,4,active citizen participation in,2,2,31.039592583728894,1,2,5,True
BEP Briefing Unframer Mees,4,between automated system control,2,2,29.728552804984265,1,2,27,True
BEP Briefing Unframer Mees,4,citizen participation in public,2,2,28.454630083007736,1,2,5,True
BEP Briefing Unframer Mees,4,tension between automated system,2,2,28.14359030426311,1,2,27,True
BEP Briefing Unframer Mees,4,participation in public life,2,2,27.86966758228658,1,2,5,True
BEP Briefing Unframer Mees,3,requires active citizen,2,2,25.11381922221935,1,2,5,True
BEP Briefing Unframer Mees,3,liberty requires active,2,2,25.11381922221935,1,2,5,True
BEP Briefing Unframer Mees,3,active citizen participation,2,2,24.528856721498194,1,2,5,True
BEP Briefing Unframer Mees,3,shaping civic engagement,2,2,20.206928626610832,1,2,2,False
BEP Briefing Unframer Mees,3,public choice theory,3,5,20.09589731422209,1,3,12,True
BEP Briefing Unframer Mees,3,automated system control,2,2,20.069425102860897,1,2,27,True
BEP Briefing Unframer Mees,3,tension between automated,2,2,19.03700362516852,1,2,27,True
BEP Briefing Unframer Mees,3,polycentric governance system,2,2,18.525104586637088,1,2,3,False
BEP Briefing Unframer Mees,3,citizen participation in,2,2,18.473574285997003,1,2,5,True
BEP Briefing Unframer Mees,3,between automated system,2,2,18.162534507252378,1,2,27,True
BEP Briefing Unframer Mees,3,control and user,2,2,17.159622911832475,1,2,27,True
BEP Briefing Unframer Mees,3,that naturalizes extraction,2,2,16.948912295543664,1,2,1,False
BEP Briefing Unframer Mees,3,reliance on individual,2,2,16.791891127331986,1,2,1,False
BEP Briefing Unframer Mees,3,emphasis on individual,2,2,16.791891127331986,1,2,20,True
BEP Briefing Unframer Mees,2,liberty requires,2,2,12.55393513255186,1,2,5,True
BEP Briefing Unframer Mees,2,active citizen,2,2,12.55393513255186,1,2,5,True
BEP Briefing Unframer Mees,2,requires active,2,2,12.55393513255186,1,2,5,True
BEP Briefing Unframer Mees,2,citizen participation,2,2,11.968972631830704,1,2,5,True
BEP Briefing Unframer Mees,2,naturalizes extraction,2,2,11.55393513255186,1,2,1,False
BEP Briefing Unframer Mees,2,thematic anchors,2,4,11.232007037664498,1,2,19,True
BEP Briefing Unframer Mees,2,price driven,2,2,10.968972631830704,1,2,21,True
BEP Briefing Unframer Mees,2,friction lies,2,2,10.55393513255186,1,2,6,True
BEP Briefing Unframer Mees,2,urban studies,3,3,10.55393513255186,1,3,6,True
BEP Briefing Unframer Mees,2,century dutch,2,2,10.384010131109548,1,2,1,False
BEP Briefing Unframer Mees,2,choice theory,3,5,10.120975725275754,1,3,12,True
BEP Briefing Unframer Mees,2,people's behavior,2,2,10.094503513914564,1,2,49,True
BEP Briefing Unframer Mees,2,polycentric governance,3,3,10.00961461632805,1,3,3,False
BEP Briefing Unframer Mees,2,public choice,3,6,9.968972631830704,1,3,12,True
BEP Briefing Unframer Mees,2,civic republicanism,3,3,9.968972631830704,1,3,68,True
BEP Briefing Unframer Mees,2,civic engagement,3,3,9.55393513255186,1,3,5,True
BEP Briefing Unframer Mees,2,public life,2,2,9.384010131109548,1,2,5,True
BEP Briefing Unframer Mees,2,polycentric model,2,2,9.232007037664498,1,2,1,False
BEP Briefing Unframer Mees,2,individual behavioral,3,3,9.232007037664498,1,3,105,True
BEP Briefing Unframer Mees,2,common good,3,3,9.232007037664498,1,3,149,True
BEP Briefing Unframer Mees,2,between automated,2,2,9.062082036222186,1,2,27,True
BEP Briefing Unframer Mees,2,communal benefits,2,2,8.968972631830704,1,2,7,True
BEP Briefing Unframer Mees,2,little bit,3,7,8.951899118471763,1,3,112,True
BEP Briefing Unframer Mees,2,energy usage,2,2,8.647044536943342,1,2,13,True
BEP Briefing Unframer Mees,2,shaping civic,2,2,8.647044536943342,1,2,2,False
BEP Briefing Unframer Mees,2,automated system,2,2,8.509541013193408,1,2,27,True
BEP Briefing Unframer Mees,2,participatory design,2,2,8.509541013193408,1,2,5,True
BEP Briefing Unframer Mees,2,an irreversible,2,2,8.384010131109548,1,2,2,False
