transcript_id,n,ngram,count_in_transcript,global_count,global_MI,num_speakers,num_distinct_turns,turn_span,entrained_across_turns
Florian Deltawerken Brief,4,has also been generated,2,2,26.973665302820798,1,2,28,True
Florian Deltawerken Brief,3,collective future making,2,2,18.441393880247855,1,2,35,True
Florian Deltawerken Brief,3,copying and pasting,3,3,17.57466041111132,1,3,110,True
Florian Deltawerken Brief,3,also been generated,2,2,16.867078623726208,1,2,28,True
Florian Deltawerken Brief,2,monastery historian,2,2,11.968972631830704,1,2,20,True
Florian Deltawerken Brief,2,thematic anchors,2,4,11.232007037664498,1,2,6,True
Florian Deltawerken Brief,2,thought provoking,3,3,10.746580210494256,1,3,78,True
Florian Deltawerken Brief,2,engineering projects,2,2,10.647044536943342,1,2,126,True
Florian Deltawerken Brief,2,historical institutionalism,2,2,10.232007037664498,1,2,5,True
Florian Deltawerken Brief,2,technocratic response,2,2,10.1616177097731,1,2,5,True
Florian Deltawerken Brief,2,liturgical time,2,2,10.094503513914564,1,2,21,True
Florian Deltawerken Brief,2,discussion starters,3,4,10.094503513914564,1,3,27,True
Florian Deltawerken Brief,2,universalist planning,2,2,9.799047630388392,1,2,7,True
Florian Deltawerken Brief,2,centralized planning,2,2,9.799047630388392,1,2,61,True
Florian Deltawerken Brief,2,first paragraph,2,2,9.647044536943342,1,2,41,True
Florian Deltawerken Brief,2,collective future,3,3,9.55393513255186,1,3,36,True
Florian Deltawerken Brief,2,deep ecology,3,5,9.290900726718066,1,3,80,True
Florian Deltawerken Brief,2,three agents,2,5,9.261153383324014,1,2,1,False
Florian Deltawerken Brief,2,ecological side,2,2,9.232007037664498,1,2,1,False
Florian Deltawerken Brief,2,worked out,3,3,9.232007037664498,1,3,196,True
Florian Deltawerken Brief,2,dialogue turns,3,3,9.232007037664498,1,3,45,True
Florian Deltawerken Brief,2,better understanding,2,2,9.232007037664498,1,1,0,False
Florian Deltawerken Brief,2,future making,6,6,9.051434792022677,1,6,139,True
Florian Deltawerken Brief,2,graduation project,3,3,8.968972631830704,1,3,126,True
Florian Deltawerken Brief,2,each other,3,4,8.910078942777135,1,3,52,True
Florian Deltawerken Brief,2,been generated,2,2,8.799047630388392,1,2,28,True
Florian Deltawerken Brief,2,bring up,2,2,8.647044536943342,1,2,72,True
Florian Deltawerken Brief,2,certain problem,2,2,8.531567319523406,1,2,130,True
Florian Deltawerken Brief,2,helped me,2,2,8.509541013193408,1,2,4,False
Florian Deltawerken Brief,2,further down,2,3,8.438457915131924,1,2,131,True
Florian Deltawerken Brief,2,ecological economics,2,2,8.424652115606895,1,2,12,True
Florian Deltawerken Brief,2,oh wow,3,3,8.331542711215413,1,3,90,True
Florian Deltawerken Brief,2,expand my,2,2,8.268532913689612,1,2,63,True
