transcript_id,n,ngram,count_in_transcript,global_count,global_MI,num_speakers,num_distinct_turns,turn_span,entrained_across_turns
Thesis Briefing Unframer Mees,4,and agency functionally meaningless,2,2,30.140678708843208,1,2,8,True
Thesis Briefing Unframer Mees,4,consent and agency functionally,2,2,29.55571620812205,1,2,8,True
Thesis Briefing Unframer Mees,4,ai moderated interviews risk,2,2,28.28752009717248,1,2,7,True
Thesis Briefing Unframer Mees,3,agency functionally meaningless,2,2,24.528856721498194,1,2,8,True
Thesis Briefing Unframer Mees,3,extracting intimate narratives,2,2,24.528856721498194,1,2,3,False
Thesis Briefing Unframer Mees,3,performative marketable depth,2,2,21.136539298719434,1,2,8,True
Thesis Briefing Unframer Mees,3,ai moderated interviews,7,7,19.528856721498194,1,7,194,True
Thesis Briefing Unframer Mees,3,moderated interviews risk,2,2,19.11381922221935,1,2,7,True
Thesis Briefing Unframer Mees,3,makes individual consent,2,2,18.300038031002313,1,2,8,True
Thesis Briefing Unframer Mees,3,these large institutions,2,2,17.577572006531224,1,2,4,False
Thesis Briefing Unframer Mees,3,and agency functionally,2,2,17.57466041111132,1,2,8,True
Thesis Briefing Unframer Mees,3,even though they,2,2,17.45471525874569,1,2,113,True
Thesis Briefing Unframer Mees,3,a scientifically grounded,2,2,17.3893053690994,1,1,0,False
Thesis Briefing Unframer Mees,3,consent and agency,2,2,16.989697910390163,1,2,8,True
Thesis Briefing Unframer Mees,3,questions it purports,2,2,16.855253188329417,1,2,1,False
Thesis Briefing Unframer Mees,2,functionally meaningless,2,2,12.55393513255186,1,2,8,True
Thesis Briefing Unframer Mees,2,sweet bono,2,2,12.55393513255186,1,2,1,False
Thesis Briefing Unframer Mees,2,extracting intimate,2,2,12.55393513255186,1,2,3,False
Thesis Briefing Unframer Mees,2,agency functionally,2,2,11.968972631830704,1,2,8,True
Thesis Briefing Unframer Mees,2,intimate narratives,2,2,11.968972631830704,1,2,3,False
Thesis Briefing Unframer Mees,2,scientifically grounded,2,2,11.968972631830704,1,1,0,False
Thesis Briefing Unframer Mees,2,burkean conservatism,2,2,11.55393513255186,1,2,1,False
Thesis Briefing Unframer Mees,2,showing interest,2,2,11.55393513255186,1,2,1,False
Thesis Briefing Unframer Mees,2,meta narrative,2,3,11.55393513255186,1,2,1,False
Thesis Briefing Unframer Mees,2,non negotiable,2,2,11.232007037664498,1,2,121,True
Thesis Briefing Unframer Mees,2,effective altruism,2,2,10.968972631830704,1,2,24,True
Thesis Briefing Unframer Mees,2,moderated interviews,8,8,10.55393513255186,1,7,194,True
Thesis Briefing Unframer Mees,2,computer computer,2,2,10.55393513255186,1,1,0,False
Thesis Briefing Unframer Mees,2,universal standard,2,2,10.384010131109548,1,2,3,False
Thesis Briefing Unframer Mees,2,marketable depth,2,2,10.384010131109548,1,2,8,True
Thesis Briefing Unframer Mees,2,performative marketable,2,2,10.1616177097731,1,2,8,True
Thesis Briefing Unframer Mees,2,even though,2,3,10.094503513914564,1,2,113,True
Thesis Briefing Unframer Mees,2,epistemic delusion,2,2,9.968972631830704,1,2,5,True
Thesis Briefing Unframer Mees,2,traditional methodologies,2,2,9.853495414410768,1,2,2,False
Thesis Briefing Unframer Mees,2,epistemic dilution,4,4,9.647044536943342,1,4,101,True
Thesis Briefing Unframer Mees,2,digital parallel,2,2,9.384010131109548,1,2,7,True
Thesis Briefing Unframer Mees,2,open up,3,3,9.232007037664498,1,3,3,False
Thesis Briefing Unframer Mees,2,qualitative data,2,2,9.1616177097731,1,2,200,True
Thesis Briefing Unframer Mees,2,epistemic rigor,2,2,8.968972631830704,1,2,37,True
Thesis Briefing Unframer Mees,2,ai moderated,7,7,8.968972631830704,1,7,194,True
Thesis Briefing Unframer Mees,2,large institutions,2,2,8.7725754190272,1,2,4,False
Thesis Briefing Unframer Mees,2,some imbalance,2,2,8.647044536943342,1,2,9,True
Thesis Briefing Unframer Mees,2,individual consent,2,2,8.647044536943342,1,2,8,True
Thesis Briefing Unframer Mees,2,interviews risk,2,2,8.55393513255186,1,2,7,True
